,tower,lat,lon,orbit,scene,tile,date_UTC,doy,time_solar,AOT,COT,vapor_gccm,ozone_cm,SZA,KG,BESSinst,ESI,ESIdaily,ESIdailyUncertainty,ETdaily,ETdailyUncertainty,ETinstUncertainty,EmisWB,GPP,LST,LST_err,MOD16inst,NDVI-UQ,PET,PTJPLSMcanopy,PTJPLSMinst,PTJPLSMinterception,PTJPLSMsoil,RH,Rg,Rn,SM,STICcanopy,STICinst,Ta,WUE,albedo-UQ,height,radiance_1,radiance_2,radiance_3,radiance_4,radiance_5,view_zenith,year,Ta_C,ST_K,NDVI,albedo,ST_C,elevation_km,Ra,UV,VIS,NIR,VISdiff,NIRdiff,VISdir,NIRdir,SWout,LWin,LWout,hour_of_day,Topt,fAPARmax,LE_insitu,H_insitu,Rn_insitu,G_insitu,SWin_insitu,SWout_insitu,LWin_insitu,LWout_insitu,tm,puv,pvis,pnir,fduv,fdvis,fdnir
10,US-Ha2,42.5393,-72.1779,11313,8,18TYN,2020-07-04,186,2020-07-03 19:11:17.304,0.2984087765216827,67.89544677734375,3.856054782867432,0.3080978393554687,86.78338452388029,4.0,236.96555,0.88214296,1.0,0.00516,3.7621635,0.051599998,48.970062,0.962,19.33725,290.66,1.72,325.24744,,249.06741,0.5570273,219.71307,0.41099745,0.029636104,0.78104734,1.488699743822398,0.0,0.21438378,0.11800835,317.2344,18.707645,0.0,,345.04053,,7.517952,,8.071396,7.339207,11.231974,2020,18.707645,290.66,0.88104045,0.12842523,17.51,0.058,72.36479076457483,0.14044013538167774,0.826611785574702,0.5205200432887005,0.7556725625948874,0.5202532247431038,0.0709392229798147,0.00026681854559673646,0.1911866070013325,339.0984031658071,389.3384784095954,19,0.0,0.5545,28.83,63.33,267.0,,9.12,2.85,333.0,414.0,0.020572156,0.09433745,0.55525756,0.34964743,0.99972844,0.9141807264089584,0.9994874
11,US-Ha2,42.5393,-72.1779,11645,7,18TYN,2020-07-25,207,2020-07-24 19:11:17.304,0.0973971635103225,0.4827753603458404,2.254345417022705,0.3221421539783478,89.01003552284529,4.0,144.50807,0.81439555,1.0,0.00492,5.9054467,0.0492,28.03661,0.966,15.199834,297.34,1.64,165.6629,,143.2915,0.8529302,116.69596,0.13823767,0.010313977,0.5812217,4.68174409514341,0.0,0.17234899,0.9023444,91.346664,26.107592,0.0,,343.54968,,8.45647,,8.966947,8.02363,7.5987687,2020,26.107592,297.34,0.9024982,0.13480766,24.19,0.058,22.347254218654154,0.3592080651348864,2.343915965262806,1.9867545845627994,1.0546497761888776,1.9840041662585315,1.2892661890739285,0.002750418304267921,0.6311349661851006,381.090580159304,428.1556241079645,19,0.0,0.5545,115.2,62.76,272.0,,1.65,1.14,354.0,422.0,0.20949975,0.07672527,0.50065017,0.42436206,0.9988856,0.4499520425727496,0.9986156
12,US-Ha2,42.5393,-72.1779,11706,7,18TYN,2020-07-29,211,2020-07-28 19:11:17.304,0.0643142983317375,0.0235195718705654,2.659468412399292,0.3065185546875,89.64406442873387,4.0,21.763159,0.7901458,1.0,0.00636,3.84130205,0.063599996,114.17287,0.964,2.7176647,300.18,2.12,333.08273,,294.00842,0.88866913,232.72806,0.10666265,0.00445547,0.5400661,1.8126261895083717,0.0,0.13617004,0.8463802,227.00558,27.96613,0.0,,344.74384,,8.599213,,9.070973,7.9363494,5.523331,2020,27.96613,300.18,0.9033745,0.13086593,27.03,0.058,8.04345546844031,0.14244910297957017,0.9251480879300127,0.7443367127697484,0.8462115993626752,0.7411326056403993,0.07893648856733748,0.003204107129349154,0.2372110434027194,392.13850465770815,443.8285396065612,19,0.0,0.5545,293.1,184.2,493.5,,1.26,1.66,423.0,425.0,0.22535416,0.07858714,0.510391,0.41063994,0.99982554,0.9146769154071808,0.99569535
13,US-Ha2,42.5393,-72.1779,11862,11,18TYN,2020-08-08,221,2020-08-07 19:11:17.304,0.2001703381538391,12.56296730041504,3.5228257179260254,0.3032028079032898,91.48028229239156,4.0,,,,,,,,0.966,,296.1,1.92,,,,,,,,,0.0,,,,,,,,344.84042,,8.163058,,8.680453,7.7689753,1.2882493,2020,,296.1,0.93332154,0.11703958,22.95,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,421.058010735517,19,0.0,0.5545,,,,,-3.39,0.754,326.0,404.0,0.087735906,0.09119095,0.5021837,0.4064358,0.9991884,0.8704649001452577,0.9992343
14,US-Ha2,42.5393,-72.1779,11889,9,18TYN,2020-08-10,223,2020-08-09 19:11:17.304,0.2012852728366851,13.680046081542969,3.424923658370972,0.3079285323619842,91.88666681206468,4.0,105.912796,0.80285054,1.0,0.00624,6.00117225,0.062399995,194.45526,0.926,9.147849,292.78,2.08,646.64105,,568.1375,0.8412701,454.99124,0.15859672,0.0,0.5968108,0.0,3.4665565207430404,0.1458395,0.0,402.11765,26.975048,0.0,,344.49683,,7.738635,,8.386946,7.389204,4.805344,2020,26.975048,292.78,0.93164396,0.11922149,19.63,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.2892697814914,385.82271326074834,19,0.0,0.5545,201.0,282.3,663.2,,-1.1,2.02,407.0,412.0,0.08283485,0.09178357,0.5027502,0.4053686,0.9993005,0.8948157629651459,0.9993633
15,US-Ha2,42.5393,-72.1779,12045,8,18TYN,2020-08-20,233,2020-08-19 19:11:17.304,0.0605985708534717,29.491792678833008,2.085841417312622,0.3250710666179657,94.08572535044073,4.0,294.6671,0.80120033,1.0,0.00408,4.2659791,0.040799998,199.98715,0.97,30.083788,292.0,1.36,565.0575,,459.1623,0.9340877,367.53885,0.0586682,0.006028839,0.46708077,0.0,0.0,0.15968221,0.0,8.159693,21.867529,0.0,,344.65482,,7.6579275,,8.258035,7.487427,2.2289126,2020,21.867529,292.0,0.90833116,0.1508014,18.85,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.1195490355431,399.8658527916333,19,0.0,0.5545,213.0,325.7,724.4,,-0.422,1.2,416.0,417.0,0.038640164,0.11144392,0.5615877,0.32682478,0.9996834,0.9147571957111359,0.9992336
16,US-Ha2,42.5393,-72.1779,12167,9,18TYN,2020-08-28,241,2020-08-27 19:11:17.304,0.9104353189468384,17.07076644897461,3.395973920822144,0.2944883704185486,96.013078511468,4.0,295.30405,0.7853454,1.0,0.0042,4.08159625,0.042,79.133095,0.954,25.186275,291.24,1.4,476.4203,,383.43073,0.81268513,302.2213,0.17937942,0.008522591,0.6157341,0.0,0.0,0.12904672,0.6634466,314.4463,21.726105,0.0,,342.65668,,7.5619507,,8.176126,7.3050246,3.6893504,2020,21.726105,291.24,0.8907377,0.16688636,18.09,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.610215761892,389.1917652030269,19,0.0,0.5545,94.67,109.4,402.2,,-4.58,0.84,311.0,395.0,0.050995044,0.07909275,0.48996213,0.4291115,0.9995376,0.9143223077058793,0.9998623
17,US-Ha2,42.5393,-72.1779,12743,9,18TYN,2020-10-04,278,2020-10-03 19:11:17.304,0.0805394202470779,0.3154704868793487,1.2209668159484863,0.2959953844547272,105.81062460036075,4.0,124.33132,0.770077,,,1.5604949,,115.33945,0.938,15.32677,284.64,1.28,380.35138,,279.4115,0.9538061,215.13716,0.034458645,0.011794937,0.40982836,0.0,0.0,0.12254296,0.6530081,82.33028,17.141027,0.0,,344.83676,,6.6238923,,7.260374,6.272776,9.413753,2020,17.141027,284.64,0.83036953,0.032843072,11.49,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.5163374749531,349.1384983687676,19,0.0,0.5545,123.1,139.8,462.8,,-4.39,1.61,253.0,347.0,0.18338585,0.087497905,0.48226422,0.4332712,1.0,0.4691998114453986,1.0
18,US-Ha2,42.5393,-72.1779,12758,8,18TYN,2020-10-05,279,2020-10-04 19:11:17.304,0.1895320117473602,1.3635624647140503,1.7240827083587646,0.2896422743797302,106.0749561322456,4.0,222.56302,0.78186953,1.0,0.0042,3.3169721,0.042,109.390594,0.966,17.556622,288.4,1.4,518.0882,,387.86874,0.92213583,303.35175,0.049222004,0.026832396,0.4513983,0.0,0.0,0.13783805,0.8223837,383.82672,18.44303,0.0,,345.7596,,7.0810695,,7.705423,6.951297,28.585787,2020,18.44303,288.4,0.81862456,0.03284198,15.25,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.41189894962014,378.9390211687609,19,0.0,0.5545,56.77,102.3,293.5,,-3.95,1.03,280.0,370.0,0.14824374,0.08758625,0.4796974,0.4340437,1.0,0.47746126602705885,1.0
19,US-Ha2,42.5393,-72.1779,12804,9,18TYN,2020-10-08,282,2020-10-07 19:11:17.304,0.0938874632120132,0.3492354452610016,1.7263551950454712,0.2923404574394226,106.86185536343324,4.0,133.37726,0.7482561,1.0,0.00252,3.3159287,0.025199998,134.81564,0.978,13.71339,284.42,0.84,492.44537,,340.21274,0.97360355,254.56625,0.024214257,0.002182185,0.37488574,0.0,0.0,0.101332396,0.84003353,375.64566,14.619561,0.0,,343.6724,,6.745552,,7.360841,6.878972,10.191639,2020,14.619561,284.42,0.7968255,0.08952055,11.27,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.88171247819866,362.9030025969678,19,0.0,0.5545,138.2,,526.8,,-4.48,1.78,264.0,361.0,0.17310971,0.09170117,0.4986199,0.41271967,1.0,0.4633257488432741,1.0
20,US-Ha2,42.5393,-72.1779,12819,7,18TYN,2020-10-09,283,2020-10-08 19:11:17.304,0.040773905813694,1.683426603449334e-06,0.8115083575248718,0.286106139421463,107.1218760521678,4.0,129.38638,0.7688677,,,2.1552985,,118.74164,0.97,14.935748,284.54,1.0,455.3086,,296.22137,0.9640245,226.31848,0.029999595,0.005975936,0.3949692,0.0,0.0,0.11657277,0.7654815,272.37784,11.517312,0.0,,344.81958,,6.6196666,,7.2974296,6.8732085,28.575914,2020,11.517312,284.54,0.8425282,0.07297123,11.39,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.6480336412026,360.5422970378344,19,0.0,0.5545,155.3,,501.6,,-3.72,1.86,269.0,350.0,0.19714376,0.0831836,0.43233305,0.49151063,1.0,0.915,1.0
21,US-Ha2,42.5393,-72.1779,12838,9,18TYN,2020-10-10,284,2020-10-09 19:11:17.304,0.2746190428733825,5.493587493896484,1.6466271877288818,0.2833012640476227,107.38063334970832,4.0,,,,,,,,0.972,,291.46,1.6,,,,,,,,,0.0,,,,,,,,343.22705,,7.632049,,8.219862,7.489494,3.940314,2020,,291.46,0.80582994,0.08379275,18.31,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,397.7345198445269,19,0.0,0.5545,,,,,-1.88,0.854,307.0,347.0,0.120369785,0.08695098,0.43485597,0.4784184,0.9999523,0.6706878993587605,1.0
22,US-Ha2,42.5393,-72.1779,13021,9,18TYN,2020-10-22,296,2020-10-21 19:11:17.304,0.1623110771179199,8.86286449432373,2.725414752960205,0.3053974211215973,110.36011121794274,4.0,206.83214,0.80586666,,,1.7121899,,68.4537,0.962,15.216166,292.48,1.8,363.00983,,278.30136,0.8105186,223.98094,0.10322705,0.08624304,0.55625564,0.0,0.0,0.15760261,0.81328386,195.25851,21.242327,0.0,,343.37445,,7.6242228,,8.177638,7.314168,3.481112,2020,21.242327,292.48,0.73806614,0.12304779,19.33,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.80184574148427,399.1819971085535,19,0.0,0.5545,81.16,125.4,339.1,,-0.269,0.0327,352.0,355.0,0.08406031,0.11190323,0.52208525,0.36543524,0.9998595,0.7779758246899913,0.9994743
23,US-Ha2,42.5393,-72.1779,13597,9,18TYN,2020-11-28,333,2020-11-27 19:11:17.304,0.1306214779615402,17.538597106933594,1.1206848621368408,0.2651195824146271,117.03636188979353,4.0,,,,,,,,0.972,,277.18,0.92,,,,,,,,,0.0,,,,,,,,341.8414,,5.798264,,6.487722,6.1133413,2.2598126,2020,,277.18,0.6778266,0.10673353,4.03,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,325.33066806593524,19,0.0,0.5545,,,,,-3.27,1.0,213.0,289.0,0.045870572,0.122695796,0.54247224,0.33469963,0.99927527,0.913366579413414,0.9982172
24,US-Ha2,42.5393,-72.1779,15428,9,18TYN,2021-03-26,85,2021-03-25 19:11:17.304,0.1919984966516494,2.16483211517334,1.4124293327331543,0.2940995097160339,101.98200749154002,4.0,,,,,,,,0.912,,274.24,1.44,,,,,,,,,0.0,,,,,,,,344.23242,,5.6351147,,6.410901,5.7916393,4.809436,2021,,274.24,0.72942895,0.087301224,1.09,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,292.5022543963242,19,0.0,0.5545,,,,,-0.0972,-0.13,336.0,334.0,0.15468043,0.08405262,0.46759337,0.44916803,0.9997878,0.5212398708711752,0.9999305
25,US-Ha2,42.5393,-72.1779,15489,10,18TYN,2021-03-30,89,2021-03-29 19:11:17.304,0.0916568487882614,0.0,0.473672866821289,0.3710461556911468,100.88778001841082,4.0,99.47554,0.8945187,,,2.204261,,89.6694,0.974,8.514742,286.0,0.72,335.90305,,204.97754,0.72267634,183.34045,0.04077093,0.23607117,0.4644537,0.0,0.0,0.21981312,0.8037859,139.12468,11.371545,0.0,,344.16684,,6.9376698,,7.5564833,7.0246515,5.7500772,2021,11.371545,286.0,0.64847386,0.10808246,12.85,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.35307275947,369.5168676172435,19,0.0,0.5545,89.17,335.0,448.4,,-4.27,0.86,222.0,322.0,0.20455155,0.076896414,0.40368772,0.5242879,1.0,0.915,1.0
26,US-Ha2,42.5393,-72.1779,15550,9,18TYN,2021-04-03,93,2021-04-02 19:11:17.304,0.0988761484622955,3.281041383743286,0.4392134249210357,0.460883229970932,99.80086403787963,4.0,111.82093,0.8872864,1.0,0.0018,2.78270995,0.018000001,154.81425,0.968,8.175176,281.44,0.6,523.811,,266.38544,0.7394676,237.17616,0.015481059,0.2451395,0.36345565,0.0,0.0,0.23026036,0.74878114,202.25725,4.775162,0.0,,342.68826,,6.29755,,6.9776816,6.583826,6.736445,2021,4.775162,281.44,0.64174014,0.1077068,8.29,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.73071635313025,344.37357897202713,19,0.0,0.5545,43.05,412.9,637.1,,-1.5,0.23,338.0,364.0,0.13764088,0.091291755,0.4518223,0.4563812,0.9993765,0.5773222045321615,0.9992765
27,US-Ha2,42.5393,-72.1779,15871,5,18TYN,2021-04-24,114,2021-04-23 19:11:17.304,0.102848932147026,0.0,0.8546398282051086,0.4151755273342132,94.40360162375606,4.0,,,,,,,,0.938,,308.5,1.0,,,,,,,,,0.0,,,,,,,,343.64777,,9.183499,,10.293876,9.104933,25.10857,2021,,308.5,0.5951485,0.099524975,35.35,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,481.7643839986827,19,0.0,0.5545,,,,,-1.24,0.188,294.0,322.0,0.21232952,0.07233957,0.40248102,0.52730036,1.0,0.915,1.0
28,US-Ha2,42.5393,-72.1779,15905,12,18TYN,2021-04-26,116,2021-04-25 19:11:17.304,0.265817642211914,16.231544494628906,1.1402544975280762,0.3871679008007049,93.93177921093437,4.0,145.10695,0.79090333,,,2.145907,,214.00035,0.97,7.0959096,281.48,0.8,582.24554,,297.95514,0.7715071,236.09113,0.03632458,0.19239241,0.4415799,0.0,0.0,0.17006725,0.0,1.2966785,5.355816,0.0,,343.80392,,6.236531,,6.9553795,6.5256824,27.561142,2021,5.355816,281.48,0.6139189,0.102815636,8.33,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.95643708480415,345.2813190028943,19,0.0,0.5545,39.37,,655.2,,-1.42,0.717,326.0,354.0,0.06811211,0.0898441,0.46333754,0.44658124,0.9994925,0.9146161597967148,0.999596
29,US-Ha2,42.5393,-72.1779,16469,10,18TYN,2021-06-01,152,2021-05-31 19:11:17.304,0.0835242196917533,4.101302146911621,1.8164142370224,0.3540680706501007,87.60699721931293,4.0,231.7239,0.83673793,1.0,0.00432,3.57853755,0.0432,66.65657,0.964,24.695623,290.72,1.44,402.87784,,317.05792,0.8743914,262.77563,0.06300529,0.06260334,0.4915863,7.697689521934597,0.0,0.21408345,0.8259012,278.9557,20.428516,0.0,,345.0221,,7.437059,,8.033682,7.182684,20.92649,2021,20.428516,290.72,0.84191245,0.09335594,17.57,0.058,54.09262319971873,0.6775183757473423,3.9109586308787585,3.0999534523641428,2.3996271036330765,3.0928038991316056,1.511331527245682,0.007149553232537187,0.718625041148355,332.3066478381953,390.47016154737264,19,0.0,0.5545,250.0,296.4,649.1,,0.0901,0.122,341.0,344.0,0.14230572,0.08801581,0.50806916,0.4027122,0.99800515,0.6135649415176506,0.99769366
30,US-Ha2,42.5393,-72.1779,16545,9,18TYN,2021-06-06,157,2021-06-05 19:11:17.304,0.1580537557601928,6.291106224060059,3.304394483566284,0.3281721472740173,87.13777726188864,4.0,320.03006,0.83992064,1.0,0.006,5.34121285,0.06,143.7895,0.972,32.907112,304.24,2.0,656.4828,,570.99945,0.8347138,479.59424,0.11610399,0.049182195,0.5647441,8.021242173166561,0.0,0.23271056,0.4131186,269.84036,27.764936,0.0,,342.8709,,9.080948,,9.524363,8.392868,16.72441,2021,27.764936,304.24,0.8580071,0.09422539,31.09,0.058,64.60335225682363,0.6839611205754258,3.950071695371969,3.378336895644862,2.757085426151178,3.3724775893696446,1.1929862692207909,0.0058593062752172465,0.7558046720510668,392.8069017100996,472.21816897981086,19,0.0,0.5545,266.5,389.6,768.4,,3.63,2.41,278.0,389.0,0.12416139,0.08526873,0.49245137,0.42117378,0.99838895,0.697983641507436,0.9982656
