tower,time_UTC,LE_insitu,H_insitu,Rn_insitu,G_insitu
US-xST,2019-06-19 15:00:00,141.933809620926,140.947983216712,499.58,4.458
US-xST,2019-06-19 20:00:00,204.444465123189,79.1171310968234,,20.743333333333336
US-xST,2019-07-04 14:00:00,123.820584641958,44.3838761892731,262.68,
US-xST,2019-07-05 13:00:00,42.717008612409,28.2116929029866,183.37,10.582666666666666
US-xST,2019-07-29 23:00:00,247.671869327678,26.2886214848318,204.73,15.203333333333331
US-xST,2019-07-30 22:00:00,253.09916541661,67.3279247585248,394.04,11.326666666666668
US-xST,2019-08-02 21:30:00,,25.728842582298,395.8,21.33033333333333
US-xST,2019-08-10 18:00:00,293.328435836512,58.5881145981064,,11.282666666666666
US-xST,2019-08-10 23:00:00,163.877772785581,6.01649801749106,209.37,
US-xST,2019-08-14 21:00:00,154.815751358501,36.1723962082709,303.64,13.940333333333331
US-xST,2019-08-17 15:30:00,188.599065957868,65.8784284051907,440.83,
US-xST,2019-08-17 20:30:00,334.403704579577,60.2111397995823,535.46,23.719666666666665
US-xST,2019-08-21 18:30:00,303.825337333902,107.545748342249,597.24,12.790333333333336
US-xST,2019-10-08 19:00:00,110.015270683719,,,5.196666666666666
US-xTR,2019-02-13 17:00:00,,,,-1.1565
US-xTR,2019-02-16 16:00:00,,,135.99,
US-xTR,2019-02-27 16:30:00,,182.247626489125,,-0.8660000000000001
US-xTR,2019-02-28 15:30:00,-6.95318339309631,184.26470337671,208.42,-0.9725
US-xTR,2019-03-02 15:30:00,19.4552249049617,142.201498393482,175.76,-1.0645
US-xTR,2019-06-08 19:30:00,276.985389311936,228.88101564373,669.22,17.203
US-xTR,2019-06-09 18:30:00,242.213431280534,185.948441408599,646.07,12.7875
US-xTR,2019-06-15 17:00:00,,,,10.7545
US-xTR,2019-06-15 21:30:00,124.486233378514,128.855888910546,498.66,
US-xTR,2019-06-19 15:00:00,,,523.93,
US-xTR,2019-07-04 14:00:00,94.4081715799316,55.8401837373744,284.3,7.3315
US-xTR,2019-07-05 13:00:00,42.0433751086285,15.2472425024566,179.37,
US-xTR,2019-07-29 23:00:00,180.569377940824,67.9766974153856,,
US-xTR,2019-07-30 22:00:00,245.561947653034,104.305522373766,411.19,8.211500000000001
US-xTR,2019-08-02 21:30:00,,,524.11,17.6925
US-xTR,2019-08-10 18:00:00,379.378233018952,175.482133250091,594.31,9.3675
US-xTR,2019-08-10 23:00:00,176.897418878127,40.1663150627618,239.91,
US-xTR,2019-08-14 21:00:00,162.016961237106,40.479292538545,,
US-xTR,2019-08-17 15:30:00,,146.545165928333,437.24,3.2745
US-xTR,2019-08-17 20:30:00,,8.7204315257117,,
US-xTR,2019-10-08 19:00:00,123.993325215586,162.504815326012,,6.1575
