,ID,vegetation,climate,STICinst,BESSinst,MOD16inst,PTJPLSMinst,ETinstUncertainty,PET,Rn,ESI,RH,Ta,LST,SM,time_utc,solar_time,solar_hour,local_time,LE,LE_filt,LEcorr25,LEcorr50,LEcorr75,LEcorr_ann,H_filt,NETRAD_filt,G_filt,SM_surf,SM_rz,AirTempC,RH_percentage,ESIrn_STIC,ESIrn_PTJPLSM,ESIrn_MOD16,ESIrn_BESS,ESIrn_Unc_ECO,ESIrn_LEcorr50
10,US-Mpj,WSA,Bsk,126.02454,48.664417,140.97224,67.48707,38.630497,166.61879,215.9816,0.40353012,0.40739903,31.340488,300.86,0.14314568,2019-07-27 00:00:00,2019-07-26 16:55:02.952,16.0,2019-07-26 17:00:00.000,,,,,,,78.765321,-2.229683,,,,27.33317,0.2712389,0.5834966497146054,0.3124667564273994,0.6527048600436334,0.22531742055804754,0.17886012975179366,
11,US-Mpj,WSA,Bsk,350.90903,35.462524,9.223131,342.5299,160.48897,426.50055,627.6653,0.79935586,0.37537435,31.101074,284.39,0.16460311,2019-07-30 22:00:00,2019-07-30 14:55:02.952,14.0,2019-07-30 15:00:00.000,34.654375,34.654375,42.89240382750196,46.89356206541231,52.88342335450803,49.280260805662,250.72921,473.00833,,,,27.38031,0.1486288,0.5590703038705501,0.5457206253077874,0.014694345855984073,0.05649909912177717,0.25569195875572537,0.09913897724679037
12,US-Mpj,WSA,Bsk,258.81995,1.9520422,289.59427,263.07434,116.145195,362.63022,471.13208,0.72639513,0.40264317,32.151558,311.92,0.17006691,2019-08-02 21:30:00,2019-08-02 14:25:02.952,14.0,2019-08-02 14:30:00.000,127.99553,127.99553,157.45277408544445,170.8027199027383,184.51419107603584,182.01606868855472,488.40025,,,,,27.99515,0.2640285,0.5493575177474649,0.5583876606322372,0.614677459450437,0.004143301385887372,0.24652363940065386,
13,US-Mpj,WSA,Bsk,9.46619,269.14374,494.94415,483.8048,197.691,542.7667,724.3717,0.89361596,0.44354358,28.470823,297.3,0.20788084,2019-08-10 18:00:00,2019-08-10 10:55:02.952,10.0,2019-08-10 11:00:00.000,,,,,,,322.37417,698.18915,,,,21.89466,0.5261219,0.013068138912660445,0.6678957778168307,0.683273725353986,0.3715547418542165,0.27291375408509194,
14,US-Mpj,WSA,Bsk,351.4003,162.01826,362.16272,354.9264,112.25969,387.83176,516.2648,0.9167099,0.40774828,28.39438,300.22,0.18931258,2019-08-14 16:30:00,2019-08-14 09:25:02.952,9.0,2019-08-14 09:30:00.000,,,,,,,292.52851,397.77653,,,,20.11146,0.6885363,0.6806590338911349,0.6874890560038182,0.7015057389153783,0.31382782634028117,0.2174459502177952,
15,US-Mpj,WSA,Bsk,306.93808,108.305145,241.51805,236.17232,72.1218,251.11823,346.87442,0.94071466,0.36629975,25.506561,301.18,0.19722089,2019-08-17 15:30:00,2019-08-17 08:25:02.952,8.0,2019-08-17 08:30:00.000,29.468029,29.468029,37.93836195864101,42.08459968781445,52.11093955813482,41.90501645315523,194.80648,349.84703,,,,22.17533,0.22056830000000002,0.8848680165000349,0.6808582771828491,0.6962694164648981,0.3122315707223381,0.20791905035834005,0.12029428887195198
16,US-Mpj,WSA,Bsk,156.91832,23.724243,255.94017,130.84447,83.353584,285.71307,362.22354,0.4681067,0.3715673,32.737007,316.46,0.15273866,2019-08-19 22:00:00,2019-08-19 14:55:02.952,14.0,2019-08-19 15:00:00.000,78.247219,,,,,,436.26752,598.1072,,,,28.56093,0.16775659999999998,0.4332085098610653,0.3612257502646018,0.7065807208443714,0.06549613810300678,0.23011641926971393,
17,US-Mpj,WSA,Bsk,317.81613,126.71046,404.83002,456.2966,125.79314,477.69693,621.1658,0.9447096,0.36638036,30.991598,308.44,0.19843473,2019-08-23 20:30:00,2019-08-23 13:25:02.952,13.0,2019-08-23 13:30:00.000,19.847288,19.847288,25.666760091470543,29.08109176708542,35.08777759473113,28.22383981604301,318.00211,,,,,26.69346,0.17806650000000002,0.5116446043874276,0.7345810088063445,0.6517261896904176,0.20398814616001074,0.20251137457986257,
18,US-Mpj,WSA,Bsk,139.8879,122.88169,130.1991,104.19779,12.782588,127.03644,187.64883,0.8233027,0.5508464,21.085815,293.54,0.19869421,2019-09-07 14:30:00,2019-09-07 07:25:02.952,7.0,2019-09-07 07:30:00.000,6.3283157,6.3283157,8.618695331083256,9.713141087511852,11.479590604504644,8.999182589689338,60.655309,118.52577,,,,18.47652,0.6238918,0.7454770701208209,0.5552807869891861,0.6938444540261721,0.6548492202162944,0.06811973194823544,0.0819496138899739
19,US-Mpj,WSA,Bsk,389.5925,100.733,232.5093,334.37897,112.49697,348.83493,534.93115,0.94279164,0.34747773,21.277212,297.06,0.19924635,2019-10-05 20:00:00,2019-10-05 12:55:02.952,12.0,2019-10-05 13:00:00.000,,,,,,,297.18275,623.46415,,,,16.82806,0.37626930000000003,0.7283040069736076,0.6250878641111103,0.4346527585839785,0.18831021524919608,0.21030177434983924,
20,US-ONA,GRA,Cfa,127.02146,107.38824,242.53879,65.56798,65.58714,179.51234,264.94705,0.36541593,0.501628,18.898642,293.28,0.2119829,2019-01-29 20:30:00,2019-01-29 15:02:11.784,15.0,2019-01-29 15:30:00.000,138.097,138.097,173.2586953828013,196.27134110924624,217.0105217320633,185.28787913187395,121.329,358.5928,35.29329125,0.42013199999999995,0.43568815,19.62,0.3685089,0.4794220581055724,0.24747578808671397,0.9154236289854898,0.40531962895982426,0.2475481044231291,0.5473376518135508
21,US-ONA,GRA,Cfa,90.657715,179.8747,221.64542,56.57086,66.944046,158.16376,222.45898,0.3576734,0.71447647,18.789948,290.5,0.21209697,2019-02-15 14:00:00,2019-02-15 08:32:11.784,8.0,2019-02-15 09:00:00.000,109.301,109.301,144.3594109285988,162.83135403370392,180.89231462687093,146.65163238153582,61.0294,,,,,17.16,0.843,0.40752553571898964,0.2542979384334137,0.9963428763361227,0.8085746864433164,0.30092759573023303,
22,US-ONA,GRA,Cfa,43.43117,0.0,88.89615,24.763947,32.535027,69.35209,88.89615,0.3570757,0.674299,26.891977,310.52,0.20503081,2019-02-21 20:00:00,2019-02-21 14:32:11.784,14.0,2019-02-21 15:00:00.000,,,,,,,,521.6538,53.7562575,0.3013574,0.29073740000000003,,0.490678,0.4885607531934735,0.27857164792850986,1.0,0.0,0.36598915701073664,
23,US-ONA,GRA,Cfa,286.86197,21.707415,337.68076,130.47672,125.48637,394.36667,482.37262,0.3360169,0.4009057,36.13067,320.76,0.10728071,2019-05-30 20:30:00,2019-05-30 15:02:11.784,15.0,2019-05-30 15:30:00.000,173.751,173.751,223.94945584138227,244.1602836043637,265.9698907749719,233.1256601305041,193.457,517.8497,24.8486575,0.06419102,0.063432565,35.14,0.3127587,0.5946895783595677,0.2704894817620453,0.7000413083147216,0.04500134149405081,0.260144056269197,0.47148870339089455
24,US-ONA,GRA,Cfa,120.12251,151.59138,209.09319,81.778824,45.751358,178.25482,209.11548,0.4621968,0.5725927,30.268175,303.92,0.16771218,2019-09-25 21:30:00,2019-09-25 16:02:11.784,16.0,2019-09-25 16:30:00.000,185.412,185.412,200.6089712391685,237.7079957718105,274.77893612491874,248.77148848707077,36.1287,444.1116,26.4438575,0.048407689999999996,0.0420991,31.89,0.4349941,0.5744314576807036,0.3910701589380184,0.9998934081781033,0.7249170649633399,0.2187851325019076,0.5352438345943012
25,US-ONA,GRA,Cfa,212.6131,135.45468,325.93814,104.58456,85.26911,269.95724,369.98743,0.38768163,0.45376638,23.859987,299.42,0.14330254,2019-12-06 17:00:00,2019-12-06 11:32:11.784,11.0,2019-12-06 12:00:00.000,144.219,144.219,158.9722077310644,203.95803291106495,234.09132655418944,193.501905476004,153.182,388.8678,-1.0421629999999995,0.03475487,0.037176925,20.67,0.5823223,0.5746495225526986,0.28267057613281615,0.8809438201724852,0.3661061674446615,0.23046488363131687,0.5244919556493619
26,US-ONA,GRA,Cfa,85.75521,60.339928,119.89143,38.951927,30.166176,87.7651,123.22131,0.44381455,0.4188292,21.375023,294.82,0.14002612,2020-01-25 21:00:00,2020-01-25 15:32:11.784,15.0,2020-01-25 16:00:00.000,106.9,106.9,145.3678970385768,157.14986223249838,174.14596490678613,143.43015618874648,94.2962,263.944,15.17593,0.026000000000000002,0.0315,22.587,0.519977,0.6959446381474114,0.3161135602275288,0.9729764275351398,0.48968744123885716,0.24481297918355194,0.5953909247131906
27,US-ONA,GRA,Cfa,317.6948,66.82547,497.38757,168.5914,162.34137,408.84567,499.40347,0.41283482,0.63243455,28.145771,301.28,0.12957288,2020-02-06 16:30:00,2020-02-06 11:02:11.784,11.0,2020-02-06 11:30:00.000,180.008,180.008,248.0489595289632,268.1708226076221,290.60303565709063,241.52081903857697,139.937,425.953,14.0808525,0.0231,0.03655,28.136,0.6602859999999999,0.636148563405056,0.33758555982800836,0.9959633840750044,0.13381058405541313,0.3250705686926845,0.6295784337887562
28,US-ONA,GRA,Cfa,220.51837,127.6995,383.1499,192.83498,93.99451,335.283,389.42697,0.5761941,0.42032886,33.80806,313.24,0.056260042,2020-03-28 20:30:00,2020-03-28 15:02:11.784,15.0,2020-03-28 15:30:00.000,152.067,152.067,196.93794288434535,209.56775233585293,238.3562163902793,204.03174519320964,211.117,488.404,26.59345,0.0115,0.010249999999999999,33.478,0.772474,0.5662637336083837,0.4951762329147363,0.9838812653371183,0.3279164255110528,0.24136620532471084,0.4290868877729358
29,US-ONA,GRA,Cfa,101.99844,80.5419,239.81483,83.91139,66.13953,194.71921,240.28561,0.43171018,0.50797576,28.14555,306.74,0.3403224,2020-04-01 18:30:00,2020-04-01 13:02:11.784,13.0,2020-04-01 13:30:00.000,278.044,278.044,362.8564840628613,388.1302127918661,425.4977651615682,373.0579452511116,307.667,713.367,20.9228625,0.0103,0.00815,25.009,0.534386,0.4244883411869733,0.34921521101492514,0.9980407482578754,0.3351923571286687,0.2752538114954116,0.5440820963008748
30,US-ONA,GRA,Cfa,386.1165,164.08353,507.20187,205.46173,147.94583,424.67874,510.20578,0.47993788,0.5295368,30.792482,303.12,0.08841908,2020-04-09 15:30:00,2020-04-09 10:02:11.784,10.0,2020-04-09 10:30:00.000,126.621,126.621,163.7517429449578,178.74445072154245,194.84972810098697,169.89026947404366,135.739,425.765,7.27679025,0.011399999999999999,0.0092,28.81,0.6759520000000001,0.7567858208113596,0.4027036502800889,0.9941123559987893,0.3216026482491045,0.2899728615383385,0.4198195030628221
